cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
61084018000103,,,,,,,
09613772000173,,,,,,,
15731377000198,,,,,,,
03467321000199,,,,,,,
33014556022246,,,,,,,
24782479000123,,,,,,,
00540252000103,,,,,,,
03667049000190,,,,,,,
03533064000146,,,,,,,
04730458000157,,,,,,,
24099794000150,,,,,,,
01289412000156,,,,,,,
11089181000190,,,,,,,
05256794000172,,,,,,,
82321589000194,,,,,,,
03261491000627,,,,,,,
08512459000186,,,,,,,
73468951000163,,,,,,,
17302341000114,,,,,,,
37063328001309,,,,,,,
37063328003000,,,,,,,
06248123000122,,,,,,,
02823845000102,,,,,,,
00097626000400,,,,,,,
72934722000124,,,,,,,
00306597003031,,,,,,,
00306597000601,,,,,,,
00306597003384,,,,,,,
03406030000190,,,,,,,
03469182000566,,,,,,,
19046218002159,,,,,,,
47427653008019,,,,,,,
08864565000129,,,,,,,
09232995000190,,,,,,,
38074571000143,,,,,,,
02072286000650,,,,,,,
05158335000156,,,,,,,
10256917000105,,,,,,,
02869615000184,,,,,,,
02167542000189,,,,,,,
19499974000190,,,,,,,
01325356000168,,,,,,,
00426741000139,,,,,,,
00314831000138,,,,,,,
04273260000191,,,,,,,
12856794000179,,,,,,,
26205908000125,,,,,,,
10880685000161,,,,,,,
02748491000340,,,,,,,
09091553000171,,,,,,,
13445006000114,,,,,,,
40432544044357,,,,,,,
00692970000103,,,,,,,
05511477000155,,,,,,,
14952996000140,,,,,,,
13593624000101,,,,,,,
05138736000144,,,,,,,
04650219000197,,,,,,,
17876127000171,,,,,,,
17517378000160,,,,,,,
04284965000104,,,,,,,
06936010000110,,,,,,,
56548779001968,,,,,,,
00213001000114,,,,,,,
24740474000138,,,,,,,
02538431000131,,,,,,,
52378239000101,,,,,,,
55334262008401,,,,,,,
08532429000131,,,,,,,
00670562000142,,,,,,,
22535203000115,,,,,,,
07780342000110,,,,,,,
03756486000180,,,,,,,
03649468000108,,,,,,,
21032511000165,,,,,,,
20965737000156,,,,,,,
03691111000180,,,,,,,
26293896000138,,,,,,,
19046218000962,,,,,,,
19046218001187,,,,,,,
04986367000349,,,,,,,
19059849000320,,,,,,,
00361145000118,,,,,,,
12518567000133,,,,,,,
05625571000135,,,,,,,
01414230000160,,,,,,,
03757815000108,,,,,,,
17618091000126,,,,,,,
21396767000151,,,,,,,
21504196000121,,,,,,,
16000572000100,,,,,,,
02610235000120,,,,,,,
05205920000160,,,,,,,
10194411000119,,,,,,,
17776071000183,,,,,,,
18988757000109,,,,,,,
86450731000154,,,,,,,
04206050005140,,,,,,,
07549477000170,,,,,,,
22088678000100,,,,,,,
04929045000104,,,,,,,
08796076000500,,,,,,,
20671632000194,,,,,,,
00353272000175,,,,,,,
10542662000147,,,,,,,
23893728000195,,,,,,,
05853200000100,,,,,,,
20198763000104,,,,,,,
19046218000610,,,,,,,
01552582000181,,,,,,,
16937129000160,,,,,,,
55838023000161,,,,,,,
14480656000163,,,,,,,
07586015000122,,,,,,,
17815117000126,,,,,,,
00338871000110,,,,,,,
02376227000161,,,,,,,
24576199000169,,,,,,,
24869532000128,,,,,,,
17609594000569,,,,,,,
17609594000305,,,,,,,
02302811000849,,,,,,,
01943121000482,,,,,,,
08637119000181,,,,,,,
20690236000295,,,,,,,
09174867000138,,,,,,,
23280084000160,,,,,,,
19212922000190,,,,,,,
21905125000130,,,,,,,
07976147002295,,,,,,,
26112199000133,,,,,,,
07014198000373,,,,,,,
75315333005259,,,,,,,
13677034000833,,,,,,,
30643260900,,,,,,,
15139629000194,,,,,,,
28055917000102,,,,,,,
02930973560,,,,,,,
16233389001046,,,,,,,
07912434000107,,,,,,,
36774156000177,,,,,,,
11162436000101,,,,,,,
40575110000104,,,,,,,
20311822000109,,,,,,,
03718049000172,,,,,,,
20025356000197,,,,,,,
07192452000161,,,,,,,
05849952000106,,,,,,,
11970263000140,,,,,,,
16182305000100,,,,,,,
07507224000133,,,,,,,
22885915000164,,,,,,,
07898474000141,,,,,,,
03774299000120,,,,,,,
07023395000278,,,,,,,
15654957000129,,,,,,,
13625629000179,,,,,,,
11113733000159,,,,,,,
19029090000171,,,,,,,
96766340000105,,,,,,,
03152780000183,,,,,,,
00306597001411,,,,,,,
04420464000370,,,,,,,
13499157000317,,,,,,,
15211436000105,,,,,,,
16496705000262,,,,,,,
09422654000269,,,,,,,
13712435000100,,,,,,,
05548976000117,,,,,,,
03550965000227,,,,,,,
08378412000171,,,,,,,
11848749000100,,,,,,,
03549925000184,,,,,,,
96841580000119,,,,,,,
08884844000154,,,,,,,
13514864000254,,,,,,,
02344339000130,,,,,,,
10691103000107,,,,,,,
03289327000202,,,,,,,
34276766000115,,,,,,,
02818012000234,,,,,,,
02818012000315,,,,,,,
04028011000130,,,,,,,
09186976000175,,,,,,,
04342137000185,,,,,,,
96741186000109,,,,,,,
01984610000130,,,,,,,
13799101000469,,,,,,,
08739223000187,,,,,,,
11128772000120,,,,,,,
04730440000236,,,,,,,
07243086000122,,,,,,,
04794669000153,,,,,,,
20598364000122,,,,,,,
14216600000104,,,,,,,
03207894000698,,,,,,,
08214213000470,,,,,,,
08214213000128,,,,,,,
01855960000104,,,,,,,
09149936000315,,,,,,,
11886613000275,,,,,,,
11495984000145,,,,,,,
16515015000122,,,,,,,
19131398000123,,,,,,,
34274233001508,,,,,,,
03562365000289,,,,,,,
03562365000874,,,,,,,
04674977000145,,,,,,,
42000810000198,,,,,,,
09386685000120,,,,,,,
11684507000128,,,,,,,
20049932000136,,,,,,,
15151046001827,,,,,,,
09069475000109,,,,,,,
02087236000132,,,,,,,
20975790000138,,,,,,,
14485320000193,,,,,,,
00187214000623,,,,,,,
00187214000461,,,,,,,
00187214000542,,,,,,,
07395555000129,,,,,,,
63287262000107,,,,,,,
13948765000108,,,,,,,
08546639000189,,,,,,,
03460327000134,,,,,,,
24531957000122,,,,,,,
17285148000112,,,,,,,
18463038000166,,,,,,,
14725758000100,,,,,,,
15151046000693,,,,,,,
15151046000774,,,,,,,
15151046000936,,,,,,,
15151046002122,,,,,,,
07145299000111,,,,,,,
40605115000124,,,,,,,
40605115000558,,,,,,,
13578265000547,,,,,,,
08490248000190,,,,,,,
10368796000193,,,,,,,
01909254000270,,,,,,,
12957770000106,,,,,,,
05524579000105,,,,,,,
10795278000156,,,,,,,
16785879000164,,,,,,,
02336040000134,,,,,,,
22682761000103,,,,,,,
03307517000116,,,,,,,
02512414000125,,,,,,,
15699102000114,,,,,,,
05283963000163,,,,,,,
23236449000159,,,,,,,
13578265001276,,,,,,,
01016321000147,,,,,,,
06252160000457,,,,,,,
01607879000105,,,,,,,
73413601000604,,,,,,,
01664891000143,,,,,,,
03052567000108,,,,,,,
01306964000125,,,,,,,
11326726000135,,,,,,,
33469172004902,,,,,,,
11322064000125,,,,,,,
14189454000167,,,,,,,
14486153000529,,,,,,,
14486153000790,,,,,,,
14486153001410,,,,,,,
05562380000171,,,,,,,
03432120000156,,,,,,,
01826547000103,,,,,,,
14588818000262,,,,,,,
26775492000180,,,,,,,
34028316630557,,,,,,,
14602189000105,,,,,,,
60829264000346,,,,,,,
10775208000136,,,,,,,
12833392000159,,,,,,,
10960248000158,,,,,,,
07860290000273,,,,,,,
97532763000115,,,,,,,
14533766000146,,,,,,,
14425383000154,,,,,,,
27686306000108,,,,,,,
08660754000180,,,,,,,
11786836000180,,,,,,,
21012629000121,,,,,,,
42078279000176,,,,,,,
10208868000135,,,,,,,
27515391000133,,,,,,,
21235482000210,,,,,,,
05588775000143,,,,,,,
25194348000279,,,,,,,
23820973000172,,,,,,,
22546749000171,,,,,,,
13039927000187,,,,,,,
27507808000116,,,,,,,
03541503000162,,,,,,,
10701558000158,,,,,,,
06060519000222,,,,,,,
17314329004621,,,,,,,
17314329004460,,,,,,,
05202077000400,,,,,,,
05202077000753,,,,,,,
22793604000256,,,,,,,
35595438000144,,,,,,,
02236879000109,,,,,,,
26251743000209,,,,,,,
11791850000252,,,,,,,
11791850000171,,,,,,,
08561781000286,,,,,,,
15330222000140,,,,,,,
22053614000174,,,,,,,
21360794000174,,,,,,,
34144907000146,,,,,,,
40535643000154,,,,,,,
26599631000162,,,,,,,
16346975000610,,,,,,,
07636331000161,,,,,,,
15279067000184,,,,,,,
03265579000374,,,,,,,
07810640000106,,,,,,,
13250916000141,,,,,,,
12323302000260,,,,,,,
11210658000144,,,,,,,
18178634000285,,,,,,,
03011550000102,,,,,,,
07291037000165,,,,,,,
03682189000138,,,,,,,
03247760000277,,,,,,,
37124724000157,,,,,,,
18477203000139,,,,,,,
09640931000129,,,,,,,
18988557000148,,,,,,,
15024965000191,,,,,,,
14580127000131,,,,,,,
11053815000155,,,,,,,
24683760000109,,,,,,,
20454170000153,,,,,,,
16432920000119,,,,,,,
02124719000160,,,,,,,
22075831000165,,,,,,,
86835352000182,,,,,,,
03841358000135,,,,,,,
09469219000109,,,,,,,
07815372000115,,,,,,,
14499859000100,,,,,,,
42020610000105,,,,,,,
33870668000149,,,,,,,
13654405000195,,,,,,,
10784253000157,,,,,,,
03143636000180,,,,,,,
06060519000141,,,,,,,
02051492000170,,,,,,,
12279542000124,,,,,,,
06052199000188,,,,,,,
19716325000101,,,,,,,
10452526000166,,,,,,,
63213532000127,,,,,,,
13687779000107,,,,,,,
34085779000107,,,,,,,
15243561000199,,,,,,,
96738653000141,,,,,,,
22042920000105,,,,,,,
61054383000175,,,,,,,
06698091000167,,,,,,,
15663412000189,,,,,,,
18938147000192,,,,,,,
09208529000170,,,,,,,
14813257000177,,,,,,,
12160715000190,,,,,,,
08947742000130,,,,,,,
14417205000181,,,,,,,
03528489000671,,,,,,,
14459051000190,,,,,,,
06698091000590,,,,,,,
10670314000155,,,,,,,
05392380000170,,,,,,,
16496572000143,,,,,,,
01476325000108,,,,,,,
08467115000100,,,,,,,
40432544010100,,,,,,,
92811959000125,,,,,,,
12782155000106,,,,,,,
10562356000172,,,,,,,
15310946000121,,,,,,,
89117485000101,,,,,,,
16895942000115,,,,,,,
96919311000209,,,,,,,
92844109000123,,,,,,,
11466683000355,,,,,,,
94605151000117,,,,,,,
09273885000339,,,,,,,
09273885000509,,,,,,,
16103667000230,,,,,,,
04596456000460,,,,,,,
89359392000193,,,,,,,
09024140000174,,,,,,,
04395250000129,,,,,,,
01433908000151,,,,,,,
